列番号,列名,列名（システム入力時）
1,お客様ID,CustomerID
2,F1.若年層,F1.Young
3,F1.中年層,F1.Middle
4,F1.老年層,F1.Senior
5,F2.北日本,F2.North
6,F2.東日本,F2.East
7,F2.中日本,F2.Central
8,F2.西日本のうち近畿,F2.Kansai
9,F2.西日本のうち近畿以西,F2.West
10,F2.南日本,F2.South
11,F3.学生,F3.Student
12,F3.民間企業職員,F3.Private.Company.Employee
13,F3.公的機関職員,F3.Public.Institution.Employee
14,F3.教育関係職員,F3.Educational.Institution.Employee
15,F3.その他,F3.Others
16,Q1.前回の弊サービス利用有無,Q1.HaveEverUsed
17,Q2.前回の弊サービス利用額,Q2.FormerCustomerDollar
18,Q3.弊社サービス改善の認知,Q3.Well-known
19,Q4.今回弊サービスで利用したもの,Q4.ServiceType
20,Q5.今回の弊サービス利用額,Q5.CustomerDollar
21,GPS_A,GPS_A
22,GPS_B,GPS_B
23,GPS_C,GPS_C
24,GPS_D,GPS_D
25,GPS_E,GPS_E
26,GPS_F,GPS_F
27,IPW,IPW
28,deviance.resid,deviance.resid
