CustomerID,F1.Age,F2.Region,F3.Occupation,Q1.HaveEverUsed,Q2.FormerCustomerDollar,Q3.Well-known,Q4.ServiceType,Q5.CustomerDollar
1,52,47,D,2,0,1,B,811096
2,65,6,E,1,53084,2,D,129126
3,44,44,C,2,0,2,D,536938
4,34,5,D,1,62737,2,C,88215
5,67,19,C,2,0,1,E,776726
6,68,17,D,2,0,1,B,74751
7,44,40,D,2,0,1,B,545183
8,68,3,C,2,0,1,C,51687
9,41,14,E,2,0,1,B,943409
10,70,20,D,1,29341,2,B,866711
11,26,13,A,2,0,1,C,700007
12,38,17,A,2,0,2,D,462424
13,34,31,A,1,62095,2,B,414340
14,22,20,B,2,0,1,A,805763
15,33,29,C,1,42982,1,B,575718
16,49,20,E,2,0,2,B,660834
17,27,45,B,2,0,1,C,486997
18,41,47,B,1,54235,1,B,168736
19,57,44,E,2,0,2,F,0
20,57,17,D,2,0,2,A,391096
21,20,27,C,1,88041,1,E,475653
22,53,44,A,1,2411,2,D,102443
23,26,9,D,2,0,1,E,608942
24,38,4,C,2,0,2,D,485219
25,63,6,D,1,90857,1,A,859365
26,31,9,A,1,17679,2,A,611572
27,60,37,C,1,36096,1,A,246597
28,61,10,B,2,0,2,D,510614
29,41,36,D,2,0,1,E,402766
30,64,45,D,2,0,2,D,103810
31,52,31,E,2,0,1,E,813258
32,67,4,A,2,0,1,B,186575
33,68,2,C,2,0,1,C,490660
34,50,44,C,1,32092,1,B,649322
35,22,28,B,2,0,1,E,857668
36,20,16,B,1,75525,1,C,892198
37,33,35,D,2,0,2,B,427876
38,22,8,D,1,4893,1,A,907349
39,48,29,D,2,0,2,B,794112
40,32,27,C,1,1430,1,A,680008
41,69,4,D,1,33447,1,E,625407
42,55,3,A,2,0,2,A,224665
43,20,38,E,2,0,1,D,353509
44,57,40,B,2,0,1,D,651154
45,22,23,A,2,0,2,E,688327
46,60,6,B,1,76713,2,C,810927
47,60,42,C,2,0,2,B,898476
48,41,7,A,2,0,1,F,0
49,50,8,D,1,68570,1,A,722795
50,57,30,A,2,0,2,A,950658
51,39,19,E,2,0,1,C,231769
52,36,11,D,2,0,2,A,894255
53,44,34,E,2,0,1,E,454472
54,59,24,E,2,0,2,A,960857
55,54,27,C,1,18970,1,C,293629
56,23,8,D,1,23287,2,E,103151
57,66,45,A,2,0,1,A,476178
58,45,16,C,1,2325,2,E,988317
59,42,29,C,1,79781,2,E,167755
60,61,31,B,2,0,2,A,932335
61,25,25,C,1,97617,2,D,116901
62,52,30,A,2,0,1,C,343913
63,46,20,D,2,0,1,D,642408
